Time_h,Time_s,Concentration_mg_L
0.0,0,0.0
1.0,3600,1.208133844951186e-72
2.0,7200,1.837988431235493e-22
3.0,10800,1.0081572556035858e-05
4.0,14400,0.8081755910538733
5.0,18000,0.33982701590768116
6.0,21600,6.787193171009859e-05
7.0,25200,7.399968904813691e-11
8.0,28800,2.6376452472909422e-18
9.0,32400,9.262720594963283e-27
10.0,36000,6.36582138172311e-36
11.0,39600,1.334476761851382e-45
12.0,43200,1.1496858648021782e-55
13.0,46800,5.007001642702364e-66
14.0,50400,1.2781429577824434e-76
15.0,54000,2.1314787342095696e-87
16.0,57600,2.5185193952857055e-98
17.0,61200,2.2432469945200233e-109
18.0,64800,1.5803293655283325e-120
19.0,68400,9.145079173231555e-132
20.0,72000,4.48025045684939e-143
21.0,75600,1.9040103773380745e-154
22.0,79200,7.160052950398471e-166
23.0,82800,2.4218574485573343e-177
24.0,86400,7.469124014475255e-189
