Time_h,Time_s,Concentration_mg_L
0.0,0,0.0
1.0,3600,8.559995668792143e-85
2.0,7200,9.60851157211457e-31
3.0,10800,1.4367354745360152e-10
4.0,14400,0.011140966838037574
5.0,18000,1.6197878290741539
6.0,21600,0.1555215610143929
7.0,25200,9.904824566054969e-05
8.0,28800,1.9771508043670308e-09
9.0,32400,3.59507399369819e-15
10.0,36000,1.1909476467914701e-21
11.0,39600,1.1346586476966107e-28
12.0,43200,4.2372587995414414e-36
13.0,46800,7.699837785331381e-44
14.0,50400,7.951708669810389e-52
15.0,54000,5.23065135907945e-60
16.0,57600,2.3874621987688e-68
17.0,61200,8.072551074685634e-77
18.0,64800,2.1273896216687036e-85
19.0,68400,4.5481891218951087e-94
20.0,72000,8.144648923029433e-103
21.0,75600,1.2536203795975687e-111
22.0,79200,1.6938547777675407e-120
23.0,82800,2.044319452369105e-129
24.0,86400,2.2359222097635335e-138
