Time_h,Time_s,Concentration_mg_L
0.0,0,0.0
1.0,3600,2.26990538678245e-99
2.0,7200,1.8838944049408338e-41
3.0,10800,7.702929195816388e-18
4.0,14400,7.075904171609341e-07
5.0,18000,0.05080273372416986
6.0,21600,1.5966413744914085
7.0,25200,0.38266163999539604
8.0,28800,0.003026809535315357
9.0,32400,2.0928977810458306e-06
10.0,36000,2.476878989959843e-10
11.0,39600,7.943246527632346e-15
12.0,43200,9.487001364210893e-20
13.0,46800,5.28348451880466e-25
14.0,50400,1.614206890706751e-30
15.0,54000,3.050611242321481e-36
16.0,57600,3.903704744141428e-42
17.0,61200,3.625203355294331e-48
18.0,64800,2.5786409973183706e-54
19.0,68400,1.4660840608207678e-60
20.0,72000,6.893416438489761e-67
21.0,75600,2.7554108763867794e-73
22.0,79200,9.576235832888305e-80
23.0,82800,2.948000543511696e-86
24.0,86400,8.163880369020134e-93
