Time_h,Time_s,Concentration_mg_L
0.0,0,0.0
1.0,3600,3.2401533826678874e-117
2.0,7200,2.0190289137400764e-55
3.0,10800,2.207163926169797e-28
4.0,14400,2.4331891881975525e-14
5.0,18000,1.0624617930495266e-06
6.0,21600,0.011457389506903849
7.0,25200,0.7342023481570983
8.0,28800,1.5040436192956301
9.0,32400,0.2635987991729438
10.0,36000,0.007560760274680114
11.0,39600,5.572208245053904e-05
12.0,43200,1.4529421240459442e-07
13.0,46800,1.6876857294586767e-10
14.0,50400,1.0338851198663753e-13
15.0,54000,3.7884129162492404e-17
16.0,57600,9.134904293367938e-21
17.0,61200,1.5600999654451228e-24
18.0,64800,1.9988012326210775e-28
19.0,68400,2.0106274479684568e-32
20.0,72000,1.6469953739381312e-36
21.0,75600,1.131622497263705e-40
22.0,79200,6.681567162583654e-45
23.0,82800,3.4587002843336714e-49
24.0,86400,1.5960443412633916e-53
