Time_h,Time_s,Concentration_mg_L
0.0,0,0.0
1.0,3600,2.2205010979801306e-169
2.0,7200,1.1798575816193534e-99
3.0,10800,8.137600095753238e-66
4.0,14400,1.0272597308738006e-45
5.0,18000,1.3298414544736453e-32
6.0,21600,1.4555105862986418e-23
7.0,25200,4.176820511480715e-17
8.0,28800,2.2010112638584847e-12
9.0,32400,6.95001051314428e-09
10.0,36000,2.805816194872038e-06
11.0,39600,0.00024072074996316298
12.0,43200,0.006254583896260918
13.0,46800,0.06351482460116846
14.0,50400,0.304337519329686
15.0,54000,0.793116875396471
16.0,57600,1.2536190367374849
17.0,61200,1.3083500233800098
18.0,64800,0.9641211003180379
19.0,68400,0.5292441287149677
20.0,72000,0.22599200625880597
21.0,75600,0.07776392375071996
22.0,79200,0.022199259309307814
23.0,82800,0.0053859088316674806
24.0,86400,0.001133218596784008
